cid,constituency,district,sno,candidate,party,criminal_cases,education,age,assets,liabilities
116,RAJARHAT NEW TOWN,NORTH 24 PARGANAS,6,Tapash Chatterjee Winner,AITC,2,Graduate,59,,
117,BIDHANNAGAR,NORTH 24 PARGANAS,8,Sujit Bose Winner,AITC,0,10th Pass,58,"Rs 6,58,08,021 ~ 6 Crore+","Rs 1,61,09,098 ~ 1 Crore+"
118,RAJARHAT GOPALPUR,NORTH 24 PARGANAS,1,Aditi Munshi Winner,AITC,0,Post Graduate,32,"Rs 99,24,104 ~ 99 Lacs+","Rs 12,42,028 ~ 12 Lacs+"
119,MADHYAMGRAM,NORTH 24 PARGANAS,5,Rathin Ghosh Winner,AITC,0,12th Pass,63,"Rs 55,19,581 ~ 55 Lacs+","Rs 4,17,060 ~ 4 Lacs+"
12,MAYNAGURI (SC),JALPAIGURI,5,Kaushik Roy Winner,BJP,4,12th Pass,37,"Rs 42,01,141 ~ 42 Lacs+","Rs 3,89,779 ~ 3 Lacs+"
120,BARASAT,NORTH 24 PARGANAS,2,Chiranjeet Chakrabarti Winner,AITC,0,12th Pass,70,"Rs 5,80,20,135 ~ 5 Crore+","Rs 8,57,385 ~ 8 Lacs+"
121,DEGANGA,NORTH 24 PARGANAS,5,Rahima Mondal Winner,AITC,0,10th Pass,51,"Rs 67,65,714 ~ 67 Lacs+",Rs 0 ~
122,HAROA,NORTH 24 PARGANAS,3,Islam Sk Nurul (Haji) Winner,AITC,0,12th Pass,57,,
13,JALPAIGURI (SC),JALPAIGURI,1,Dr. Pradip Kumar Barma Winner,AITC,1,Graduate Professional,66,"Rs 2,86,61,907 ~ 2 Crore+","Rs 18,47,000 ~ 18 Lacs+"
139,MINAKHAN (SC),NORTH 24 PARGANAS,3,Usha Rani Mondal Winner,AITC,0,8th Pass,47,,
14,RAJGANJ (SC),JALPAIGURI,2,Khageswar Roy Winner,AITC,1,12th Pass,69,"Rs 63,63,026 ~ 63 Lacs+","Rs 8,20,178 ~ 8 Lacs+"
140,SANDESHKHALI (ST),NORTH 24 PARGANAS,6,Sukumar Mahata Winner,AITC,1,Post Graduate,44,,
141,BASIRHAT DAKSHIN,NORTH 24 PARGANAS,5,Dr. Saptarshi Banerjee Winner,AITC,0,Post Graduate,40,"Rs 6,71,80,280 ~ 6 Crore+","Rs 10,33,081 ~ 10 Lacs+"
142,BASIRHAT UTTAR,NORTH 24 PARGANAS,4,Rafikul Islam Mondal Winner,AITC,2,Post Graduate,61,"Rs 1,21,92,432 ~ 1 Crore+",Rs 0 ~
143,HINGALGANJ (SC),NORTH 24 PARGANAS,1,Debes Mandal Winner,AITC,0,Graduate,56,"Rs 49,25,291 ~ 49 Lacs+","Rs 8,60,000 ~ 8 Lacs+"
144,GOSABA (SC),SOUTH 24 PARGANAS,4,Jayanta Naskar Winner,AITC,1,8th Pass,73,"Rs 2,11,11,705 ~ 2 Crore+",Rs 0 ~
145,BASANTI (SC),SOUTH 24 PARGANAS,5,Shyamal Mondal Winner,AITC,0,Graduate,56,"Rs 70,57,592 ~ 70 Lacs+","Rs 3,70,230 ~ 3 Lacs+"
146,KULTALI (SC),SOUTH 24 PARGANAS,2,Ganesh Chandra Mondal Winner,AITC,0,Graduate,40,"Rs 6,33,01,383 ~ 6 Crore+","Rs 1,23,92,528 ~ 1 Crore+"
147,PATHARPRATIMA,SOUTH 24 PARGANAS,3,Samir Kumar Jana Winner,AITC,2,Post Graduate,71,,
148,KAKDWIP,SOUTH 24 PARGANAS,4,Manturam Pakhira Winner,AITC,2,10th Pass,57,"Rs 67,07,089 ~ 67 Lacs+",Rs 0 ~
149,SAGAR,SOUTH 24 PARGANAS,1,Bankim Chandra Hazra Winner,AITC,0,Post Graduate,71,"Rs 90,90,193 ~ 90 Lacs+",Rs 0 ~
15,DABGRAM-FULBARI,JALPAIGURI,9,Sikha Chatterjee Winner,BJP,6,12th Pass,68,,
150,KULPI,SOUTH 24 PARGANAS,1,Jogaranjan Halder Winner,AITC,0,Graduate Professional,67,"Rs 1,29,90,857 ~ 1 Crore+","Rs 1,15,643 ~ 1 Lacs+"
151,RAIDIGHI,SOUTH 24 PARGANAS,1,Aloke Jaldata Winner,AITC,1,Graduate Professional,54,"Rs 3,35,22,682 ~ 3 Crore+","Rs 74,83,333 ~ 74 Lacs+"
152,MANDIRBAZAR (SC),SOUTH 24 PARGANAS,2,Joydeb Halder Winner,AITC,2,10th Pass,45,"Rs 35,85,560 ~ 35 Lacs+",Rs 0 ~
153,JAYNAGAR (SC),SOUTH 24 PARGANAS,3,Biswanath Das Winner,AITC,0,Post Graduate,55,,
154,BARUIPUR PURBA (SC),SOUTH 24 PARGANAS,1,Bivas Sardar (Vobo) Winner,AITC,1,12th Pass,45,"Rs 76,92,159 ~ 76 Lacs+","Rs 24,38,000 ~ 24 Lacs+"
155,CANNING PASCHIM (SC),SOUTH 24 PARGANAS,6,Paresh Ram Das Winner,AITC,9,12th Pass,43,,
156,CANNING PURBA,SOUTH 24 PARGANAS,5,Saokat Molla Winner,AITC,0,Graduate,49,"Rs 3,06,52,188 ~ 3 Crore+","Rs 48,40,418 ~ 48 Lacs+"
157,BARUIPUR PASCHIM,SOUTH 24 PARGANAS,3,Biman Banerjee Winner,AITC,0,Post Graduate,72,,
159,MAGRAHAT PURBA (SC),SOUTH 24 PARGANAS,4,Namita Saha Winner,AITC,0,Graduate Professional,68,"Rs 42,86,392 ~ 42 Lacs+",Rs 0 ~
16,MAL (ST),JALPAIGURI,2,Bulu Chik Baraik Winner,AITC,0,8th Pass,61,"Rs 5,75,763 ~ 5 Lacs+",Rs 0 ~
160,MAGRAHAT PASCHIM,SOUTH 24 PARGANAS,3,Gias Uddin Molla Winner,AITC,0,8th Pass,64,,
161,DIAMOND HARBOUR,SOUTH 24 PARGANAS,7,Pannalal Halder Winner,AITC,0,Graduate Professional,70,"Rs 5,94,50,472 ~ 5 Crore+",Rs 0 ~
162,FALTA,SOUTH 24 PARGANAS,8,Sankar Kumar Naskar Winner,AITC,0,8th Pass,68,"Rs 1,64,30,004 ~ 1 Crore+",Rs 0 ~
163,SATGACHHIA,SOUTH 24 PARGANAS,4,Mohan Chandra Naskar Winner,AITC,0,Graduate,60,"Rs 25,23,517 ~ 25 Lacs+",Rs 0 ~
164,BISHNUPUR (SC),SOUTH 24 PARGANAS,2,Dilip Mondal Winner,AITC,1,12th Pass,54,"Rs 1,59,03,820 ~ 1 Crore+","Rs 55,05,267 ~ 55 Lacs+"
165,SONARPUR DAKSHIN,SOUTH 24 PARGANAS,3,Arundhuti Maitra (Lovely) Winner,AITC,0,Graduate,30,,
166,BHANGAR,SOUTH 24 PARGANAS,3,Md. Nawsad Siddique Winner,Rashtriya Secular Majlis Party,0,Post Graduate,28,,
167,KASBA,SOUTH 24 PARGANAS,1,Ahmed Javed Khan Winner,AITC,1,Graduate,64,"Rs 32,33,01,926 ~ 32 Crore+","Rs 41,51,01,490 ~ 41 Crore+"
168,JADAVPUR,SOUTH 24 PARGANAS,3,Debabrata Majumdar (Malay) Winner,AITC,0,Graduate Professional,56,,
169,SONARPUR UTTAR,SOUTH 24 PARGANAS,4,Firdousi Begum Winner,AITC,0,12th Pass,42,"Rs 6,66,67,778 ~ 6 Crore+","Rs 2,96,050 ~ 2 Lacs+"
17,NAGRAKATA (ST),JALPAIGURI,4,Puna Bhengra Winner,BJP,1,10th Pass,46,"Rs 13,25,061 ~ 13 Lacs+",Rs 0 ~
170,TOLLYGANJ,SOUTH 24 PARGANAS,2,Aroop Biswas Winner,AITC,0,Graduate,57,"Rs 1,15,88,610 ~ 1 Crore+",Rs 0 ~
171,BEHALA PURBA,SOUTH 24 PARGANAS,7,Ratna Chatterjee Winner,AITC,5,Graduate,49,"Rs 12,81,38,795 ~ 12 Crore+","Rs 6,66,30,530 ~ 6 Crore+"
172,BEHALA PASCHIM,SOUTH 24 PARGANAS,5,Partha Chatterjee Winner,AITC,0,Doctorate,68,"Rs 1,15,94,863 ~ 1 Crore+",Rs 0 ~
174,MAHESHTALA,SOUTH 24 PARGANAS,2,Dulal Chandra Das Winner,AITC,0,8th Pass,76,"Rs 13,73,22,155 ~ 13 Crore+","Rs 2,11,59,750 ~ 2 Crore+"
175,BUDGE BUDGE,SOUTH 24 PARGANAS,1,Ashok Kumar Deb Winner,AITC,1,Graduate Professional,71,"Rs 23,81,783 ~ 23 Lacs+",Rs 0 ~
176,METIABURUZ,SOUTH 24 PARGANAS,1,Abdul Khaleque Molla Winner,AITC,2,10th Pass,76,"Rs 83,45,642 ~ 83 Lacs+","Rs 2,29,810 ~ 2 Lacs+"
177,BHABANIPUR,KOLKATA SOUTH,9,Sobhandeb Chattopadhyay Winner,AITC,0,Graduate Professional,77,,
178,KOLKATA PORT,KOLKATA SOUTH,3,Firhad Hakim Winner,AITC,1,Graduate,62,,
179,RASHBEHARI,KOLKATA SOUTH,3,Debasish Kumar Winner,AITC,0,12th Pass,61,,
18,DARJEELING,DARJEELING,6,Neeraj Tamang Zimba Winner,BJP,8,Post Graduate,39,,
